[2025-04-11 01:55:57.502] INFO     (root) Configured logger (level=INFO, file=/home/yadunand/sc_2025_agents/experiment_2/powerlaw.48.medium/top_level.log)
[2025-04-11 01:55:57.506] INFO     (aeris.agent) Running agent (AgentID<63709965>; Behavior<Tracker>)
[2025-04-11 01:55:57.509] INFO     (__main__) Launching 48 nodes
[2025-04-11 01:55:57.509] INFO     (dml_agent) [0] Initalized
[2025-04-11 01:55:57.510] INFO     (parsl.dataflow.dflow) Task 0 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.511] INFO     (dml_agent) [1] Initalized
[2025-04-11 01:55:57.512] INFO     (parsl.dataflow.dflow) Parsl task 0 try 0 launched on executor HighThroughputExecutor with executor id 1
[2025-04-11 01:55:57.512] INFO     (parsl.dataflow.dflow) Task 1 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.512] INFO     (parsl.dataflow.dflow) Standard out for task 0 will not be redirected.
[2025-04-11 01:55:57.512] INFO     (dml_agent) [2] Initalized
[2025-04-11 01:55:57.512] INFO     (parsl.dataflow.dflow) Standard error for task 0 will not be redirected.
[2025-04-11 01:55:57.512] INFO     (parsl.dataflow.dflow) Task 2 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.513] INFO     (dml_agent) [3] Initalized
[2025-04-11 01:55:57.513] INFO     (parsl.dataflow.dflow) Parsl task 1 try 0 launched on executor HighThroughputExecutor with executor id 2
[2025-04-11 01:55:57.513] INFO     (parsl.dataflow.dflow) Task 3 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.513] INFO     (parsl.dataflow.dflow) Standard out for task 1 will not be redirected.
[2025-04-11 01:55:57.513] INFO     (dml_agent) [4] Initalized
[2025-04-11 01:55:57.513] INFO     (parsl.dataflow.dflow) Standard error for task 1 will not be redirected.
[2025-04-11 01:55:57.513] INFO     (parsl.dataflow.dflow) Task 4 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Parsl task 2 try 0 launched on executor HighThroughputExecutor with executor id 3
[2025-04-11 01:55:57.514] INFO     (dml_agent) [5] Initalized
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Standard out for task 2 will not be redirected.
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Task 5 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Standard error for task 2 will not be redirected.
[2025-04-11 01:55:57.514] INFO     (dml_agent) [6] Initalized
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Parsl task 3 try 0 launched on executor HighThroughputExecutor with executor id 4
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Task 6 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.514] INFO     (parsl.dataflow.dflow) Standard out for task 3 will not be redirected.
[2025-04-11 01:55:57.514] INFO     (dml_agent) [7] Initalized
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Standard error for task 3 will not be redirected.
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Task 7 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Parsl task 4 try 0 launched on executor HighThroughputExecutor with executor id 5
[2025-04-11 01:55:57.515] INFO     (dml_agent) [8] Initalized
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Standard out for task 4 will not be redirected.
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Task 8 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Standard error for task 4 will not be redirected.
[2025-04-11 01:55:57.515] INFO     (dml_agent) [9] Initalized
[2025-04-11 01:55:57.515] INFO     (parsl.dataflow.dflow) Parsl task 5 try 0 launched on executor HighThroughputExecutor with executor id 6
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Task 9 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Standard out for task 5 will not be redirected.
[2025-04-11 01:55:57.516] INFO     (dml_agent) [10] Initalized
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Standard error for task 5 will not be redirected.
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Task 10 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Parsl task 6 try 0 launched on executor HighThroughputExecutor with executor id 7
[2025-04-11 01:55:57.516] INFO     (dml_agent) [11] Initalized
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Standard out for task 6 will not be redirected.
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Task 11 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.516] INFO     (parsl.dataflow.dflow) Standard error for task 6 will not be redirected.
[2025-04-11 01:55:57.517] INFO     (dml_agent) [12] Initalized
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Parsl task 7 try 0 launched on executor HighThroughputExecutor with executor id 8
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Task 12 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Standard out for task 7 will not be redirected.
[2025-04-11 01:55:57.517] INFO     (dml_agent) [13] Initalized
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Standard error for task 7 will not be redirected.
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Task 13 submitted for App _run_agent_on_worker, not waiting on any dependency
[2025-04-11 01:55:57.517] INFO     (parsl.dataflow.dflow) Parsl task 8 try 0 launched on executor HighThroughputExecutor with executor id 9
